Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA
Date,,,,,,,,,,,,,,,
2020-01-02,72.40052032470703,5.970754623413086,28.68400001525879,72.46078378305016,5.970754623413086,28.713333129882812,71.15668166173941,5.891363982921088,28.11400032043457,71.40978524422886,5.941885342751538,28.299999237060547,135480400,237536000,142981500
2020-01-03,71.69664001464844,5.875185966491699,29.534000396728516,72.45595811976894,5.918988068029837,30.266666412353516,71.47246171476719,5.826157518294826,29.128000259399414,71.62914523544616,5.851045086775378,29.366666793823242,146322800,205384000,266677500
2020-01-06,72.26790618896484,5.899825096130371,30.1026668548584,72.3064756689983,5.905051443474641,30.104000091552734,70.56848031437993,5.7557269623863725,29.333332061767578,70.81917825640933,5.781858699107725,29.364667892456055,118387200,262636000,151995000
2020-01-07,71.9280776977539,5.971253395080566,31.270666122436523,72.53311799236958,6.01704636446378,31.441999435424805,71.70871776310408,5.883151688505547,30.224000930786133,72.27760144352062,5.928197968891882,30.760000228881836,108872000,314856000,268231500
2020-01-08,73.0851058959961,5.982451915740967,32.80933380126953,73.38642316119072,6.023765219861093,33.232666015625,71.63155170295238,5.926952946804154,31.215333938598633,71.63155170295238,5.967021611212417,31.579999923706055,132079200,277108000,467164500
2020-01-09,74.63749694824219,6.048154830932617,32.089332580566406,74.83033706552648,6.1205774820472,33.253334045410156,73.81068409472688,5.994397977935121,31.524667739868164,74.06137477592067,6.068811482955992,33.13999938964844,170108400,255112000,426606000
2020-01-10,74.8062515258789,6.080506324768066,31.876667022705078,75.37032411023016,6.185780403848491,32.3293342590332,74.30486266425461,6.066320664685102,31.579999923706055,74.87134078520153,6.1554177557462735,32.11933135986328,140644800,316296000,194392500
2020-01-13,76.4044418334961,6.271145343780518,34.990665435791016,76.43096158772731,6.296281649371499,35.04199981689453,75.00391926760233,6.140983683403127,32.79999923706055,75.12204068055395,6.163631659458334,32.900001525878906,121532000,319840000,397764000
2020-01-14,75.37269592285156,6.154176235198975,35.861331939697266,76.55145246560595,6.253726060605366,36.49399948120117,75.24976349452105,6.140985521380732,34.99333190917969,76.34173684913497,6.228340534710304,36.284000396728516,161954400,359088000,434943000
2020-01-15,75.0497055053711,6.1116180419921875,34.56666564941406,76.0524904138791,6.189267045100007,35.85599899291992,74.6182170498927,6.085735040956248,34.452667236328125,75.17264532410701,6.166868275946175,35.31733322143555,121923600,263104000,260532000
2020-01-16,75.98980712890625,6.195239067077637,34.232666015625,76.10069718746519,6.201212102853012,34.297332763671875,75.23048903454546,6.141730957829296,32.81133270263672,75.5920697800867,6.165125150161636,32.91666793823242,108829200,284192000,326050500
2020-01-17,76.83109283447266,6.203949451446533,34.03333282470703,76.83349837052724,6.221868558212583,34.37799835205078,75.93195936574989,6.156414379459316,33.54399871826172,76.23809509330889,6.214402145054004,33.840667724609375,137816400,253792000,204436500
2020-01-21,76.31041717529297,6.170600414276123,36.47999954223633,76.90099467937888,6.204198560894106,36.571998596191406,76.17301471865545,6.13650431691283,35.227333068847656,76.459869381581,6.16736492115884,35.349998474121094,110843200,217916000,267052500
2020-01-22,76.58280944824219,6.224606037139893,37.97066879272461,77.13481745633268,6.311214340256056,39.633331298828125,76.48879491769239,6.196980925833093,37.27333450317383,76.79493065234263,6.215895459222514,38.125999450683594,101832400,239240000,470535000
2020-01-23,76.95161437988281,6.293046474456787,38.14666748046875,77.03115890447519,6.301508314316864,38.79999923706055,76.08863757604202,6.175826780010042,37.040000915527344,76.63583446102108,6.2646751491590695,37.616668701171875,104472000,244516000,294765000
2020-01-24,76.72982788085938,6.233814716339111,37.654666900634766,77.93991520434014,6.458299843381298,38.25733184814453,76.53939333547534,6.179559919221518,36.95066833496094,77.19747280109205,6.408524704344975,38.04199981689453,146537600,373512000,215304000
2020-01-27,74.47358703613281,5.977972507476807,37.201332092285156,75.15335327614349,6.028991819907899,37.62933349609375,73.49249613883003,5.779619081655654,35.95199966430664,74.74115326828117,5.929192787115326,36.132667541503906,161940000,470536000,204121500
2020-01-28,76.58037567138672,6.171348571777344,37.793331146240234,76.75152179476333,6.203702086577362,38.45399856567383,75.25457988632637,5.990665035935244,37.2053337097168,75.35341281852345,6.043924417268524,37.89933395385742,162234000,310976000,176827500
2020-01-29,78.18341064453125,6.1108717918396,38.732666015625,79.02951207503841,6.1930004533573255,39.31999969482422,77.46989325521864,6.071051388818257,37.82866668701172,78.20993039532226,6.15691349496701,38.37933349609375,216229200,258848000,267022500
2020-01-30,78.0700912475586,6.117591381072998,42.72066879272461,78.12312337660362,6.1310308331058625,43.391998291015625,76.83589699674123,5.958062920851865,41.20000076293945,77.26738534868132,6.013063944753105,42.16133117675781,126743200,290504000,435085500
2020-01-31,74.60858917236328,5.884145736694336,43.371334075927734,77.78326467024122,6.083743301311046,43.53333282470703,74.31450314285442,5.842334960195534,42.167999267578125,77.36142037786921,6.071797229542552,42.66666793823242,199588400,370420000,235789500
2020-02-03,74.4036865234375,5.981208324432373,52.0,75.56797344941275,6.000620338642555,52.409332275390625,72.8512990512171,5.859757205155272,44.90133285522461,73.3526878513845,5.865978980238484,44.91266632080078,173788400,255564000,705975000
2020-02-04,76.86001586914062,6.1504411697387695,59.137332916259766,77.050450456367,6.169604915500799,64.59933471679688,75.60171457078681,6.073041396690385,55.59199905395508,76.00668324335653,6.123065271647515,58.86399841308594,136616400,271544000,914082000
2020-02-05,77.48676300048828,6.24078369140625,48.97999954223633,78.28465065522497,6.281599042941354,56.39866638183594,76.88412837567931,6.15741039787647,46.94066619873047,77.98573887898152,6.2713950863848416,54.88399887084961,118826800,208220000,726357000
2020-02-06,78.39311218261719,6.327641487121582,49.930667877197266,78.39552507490272,6.327641487121582,53.05533218383789,77.1999001655233,6.193996033305588,45.79999923706055,77.7567339114429,6.275129269822066,46.66133117675781,105425600,218284000,598212000
2020-02-07,77.3275375366211,6.261440277099609,49.871334075927734,78.14181565091206,6.309722042005786,51.31666564941406,76.83703724788526,6.236054755001405,48.66666793823242,77.89294126547146,6.287572013355755,48.70333480834961,117684000,189752000,255952500
2020-02-10,77.69480895996094,6.544659614562988,51.41866683959961,77.69480895996094,6.545405828690706,54.66600036621094,75.83429386411699,6.279109918334532,50.15999984741211,75.91402717049185,6.284087527331507,53.33333206176758,109348800,529608000,370338000
2020-02-11,77.22607421875,6.667105674743652,51.62533187866211,78.26265171467769,6.781837046465361,52.23400115966797,77.00861231633205,6.59095006078048,50.53333282470703,78.19016687181822,6.652920011237149,51.25266647338867,94323200,638556000,175462500
2020-02-12,79.05999755859375,6.782832145690918,51.15266799926758,79.06482742202022,6.789303132024063,52.650001525878906,77.67547849475221,6.6810422774865765,50.891334533691406,77.67547849475221,6.719866771412749,51.858001708984375,113730400,374644000,180337500
2020-02-13,78.49703216552734,6.7390313148498535,53.599998474121094,78.82322871837643,6.806227621791376,54.53333282470703,78.12976332478873,6.6974692706660415,49.0,78.33272826628952,6.724845649351327,49.45600128173828,94747600,528016000,394339500
2020-02-14,78.51634216308594,7.212142467498779,53.33533477783203,78.7652165546687,7.341059519682939,54.198001861572266,78.00892627887556,7.11781899548029,52.366668701171875,78.4655954129786,7.149177081897548,52.4813346862793,80113600,1041924000,235405500
2020-02-18,77.07865905761719,7.380878925323486,57.22666549682617,77.25987847546425,7.399295984825902,57.33333206176758,76.01791785904396,7.0894466884047596,55.490665435791016,76.19913727689102,7.108858700139689,56.106666564941406,152531200,620164000,245725500
2020-02-19,78.1949462890625,7.832088470458984,61.16133117675781,78.42449376642361,7.849758840322369,62.98533248901367,77.32026200494514,7.503325127505003,60.06800079345703,77.32026200494514,7.503325127505003,61.56666564941406,93984000,694332000,381345000
2020-02-20,77.39279174804688,7.682765007019043,59.96066665649414,78.44386614487053,7.8724073813015805,60.79999923706055,76.88779437840257,7.375404488233525,57.3293342590332,77.95578436208415,7.78405694442259,60.79666519165039,100566000,810052000,264523500
2020-02-21,75.6409683227539,7.318659782409668,60.06666564941406,77.42900548652433,7.595657599846096,60.87066650390625,75.02482536350576,7.233793590100202,58.6966667175293,76.98682605793252,7.5705212914852815,60.46533203125,129554000,768180000,214722000
2020-02-24,72.04798126220703,6.801249027252197,55.58599853515625,73.49773610220825,7.015032728613473,57.56666564941406,69.8854347168392,6.669843188096239,54.813331604003906,71.8256896494208,6.724346724805658,55.93333435058594,222195200,856916000,227883000
2020-02-25,69.6075668334961,6.521764278411865,53.32733154296875,73.09906307526451,6.938380650884585,57.106666564941406,69.13640088272064,6.419974383925841,52.46666717529297,72.71729750302329,6.876410687420948,56.599998474121094,230673600,1055496000,259357500
2020-02-26,70.71183013916016,6.6611328125,51.91999816894531,71.97553646481957,6.855255296567621,54.22066879272461,69.22583207719232,6.520518914603024,51.740665435791016,69.23308056046676,6.522011817590938,52.16666793823242,198054800,747732000,211282500
2020-02-27,66.08950805664062,6.2903361320495605,45.266666412353516,69.10500169424336,6.6489302455680726,49.31800079345703,65.95419815371966,6.197948305148538,44.599998474121094,67.92103635676665,6.347611445500659,48.66666793823242,320605600,906416000,364158000
2020-02-28,66.05084228515625,6.725381374359131,44.53266525268555,67.27105731603613,6.784898103552778,46.03466796875,61.94562123770189,6.021142747479022,40.768001556396484,62.160671794936235,6.037827190608867,41.97999954223633,426510000,1133252000,363343500
2020-03-02,72.20024871826172,6.883760452270508,49.574668884277344,72.83572613943491,6.9126474759438485,49.5793342590332,67.10435837488609,6.499517154839416,45.77799987792969,68.20617210459764,6.895464783839426,47.41733169555664,341397200,890744000,302925000
2020-03-03,69.90721893310547,6.62129020690918,49.70066833496094,73.45428597286327,6.9993080317615535,53.798667907714844,69.05669090258408,6.535874989755317,47.740665435791016,73.37455265692115,6.9395424109328125,53.66666793823242,319475600,652792000,386760000
2020-03-04,73.14981842041016,7.084970951080322,49.96666717529297,73.3092923901448,7.094433875085668,51.10133361816406,70.82779719372856,6.653910847652948,48.31533432006836,71.6275782870545,6.728618217428023,50.930667877197266,219178400,597408000,225735000
2020-03-05,70.77705383300781,6.80556583404541,48.30266571044922,72.37902717401828,7.052348018857373,49.71666717529297,70.41219640582361,6.760990398482024,47.871334075927734,71.40527520257908,6.885502193942005,48.2513313293457,187572800,540328000,162790500
2020-03-06,69.83715057373047,6.625024795532227,46.89866638183594,70.2696631046371,6.683545501636067,47.133331298828125,67.95247104471461,6.424809580590504,45.61800003051758,68.13852037839982,6.626020817874118,46.0,226176800,515412000,189943500
2020-03-09,64.3135757446289,6.11203670501709,40.53333282470703,67.19375264320037,6.459673702374688,44.20000076293945,63.54761831737935,5.931245574441285,40.33333206176758,63.72883776125021,5.974077388240757,40.35933303833008,286744800,614160000,256105500
2020-03-10,68.9455337524414,6.501507759094238,43.02199935913086,69.21132371848606,6.501507759094238,44.53333282470703,65.0867678159455,6.125731447548591,40.53333282470703,66.96420578722295,6.388450932818215,43.96200180053711,285290000,580648000,233916000
2020-03-11,66.55101776123047,6.137686252593994,42.28200149536133,67.95003374263217,6.389947352624878,43.571998596191406,65.68841155580724,6.040567173005976,40.866668701171875,67.0246098194062,6.361558574367237,42.68000030517578,255598800,499964000,199837500
2020-03-12,59.97880935668945,5.386630535125732,37.369998931884766,65.23900739248786,5.879946119674955,39.633331298828125,59.92323641976663,5.3739301811778155,36.41666793823242,61.841747078919504,5.614486920815418,38.72600173950195,418474000,816540000,283636500
2020-03-13,67.16474914550781,5.997485160827637,36.44133377075195,67.63592258199654,6.001967498882198,40.50466537475586,61.11926832671573,5.468808182759905,33.46666717529297,64.00428573904365,5.739994622297284,39.66666793823242,370732000,634836000,339604500
2020-03-16,58.52421569824219,4.890823841094971,29.67133331298828,62.60044010140755,5.630424311039589,32.9913330078125,57.99022079286357,4.8310582281153325,29.47800064086914,58.4613905994218,5.289510622766234,31.299999237060547,322423600,726972000,307342500
2020-03-17,61.097530364990234,5.410536766052246,28.68000030517578,62.245249799692694,5.499936546857381,31.456666946411133,57.60361793460999,4.756351898864725,26.399999618530273,59.80483021639644,5.003134146835945,29.333999633789062,324056000,833632000,359919000
2020-03-18,59.60185623168945,5.0506978034973145,24.08133316040039,60.406470866055514,5.228002624011302,26.99066734313965,57.29432830722245,4.499359716733076,23.367332458496094,57.934639110553675,4.9829635271133,25.933332443237305,300233600,874268000,356793000
2020-03-19,59.14519119262695,5.303455829620361,28.50933265686035,61.09269547807698,5.397088566428177,30.133333206176758,58.62086339938416,4.815867575219832,23.8973331451416,59.775834978401704,5.029280412841666,24.979999542236328,271857200,765512000,452932500
2020-03-20,55.39032745361328,5.123661041259766,28.50200080871582,60.848656123776394,5.735511767463592,31.799999237060547,55.09070998430256,5.108221508815818,28.38599967956543,59.72509337905043,5.453617044388222,29.213333129882812,401693200,804636000,424282500
2020-03-23,54.21360397338867,5.296483516693115,28.952667236328125,55.21152015646839,5.390863877993336,29.46666717529297,51.372084613414366,4.943617068293397,27.366666793823242,55.1100377172106,5.122665029285088,28.906667709350586,336752800,643876000,246817500
2020-03-24,59.65260696411133,6.205170631408691,33.66666793823242,59.84832336499044,6.2918312232495754,34.24599838256836,56.61295251663222,5.678983959481302,31.600000381469727,57.11070131069981,5.702641033345908,31.81999969482422,287531200,1101644000,343428000
2020-03-25,59.323997497558594,6.116518497467041,35.95000076293945,62.399894457247456,6.51993651399452,37.133331298828125,59.029213577289134,6.067709603569407,34.07400131225586,60.58770003932158,6.320219550387866,36.349998474121094,303602000,793432000,318340500
2020-03-26,62.445796966552734,6.405884265899658,35.21066665649414,62.50378482179249,6.529897835657393,37.33333206176758,59.526955709117544,6.2255909210386315,34.150001525878906,59.5656167372231,6.323706009766051,36.49266815185547,252087200,696108000,260710500
2020-03-27,59.86040115356445,6.293573379516602,34.29066848754883,61.82481719246613,6.552308779778752,35.0533332824707,59.69367869443923,6.192718654401704,32.935333251953125,61.07094557233669,6.225589760738807,33.66666793823242,204216800,638828000,215661000
2020-03-30,61.56869888305664,6.613819122314453,33.47533416748047,61.74025490515105,6.623033160753268,34.44333267211914,60.2615017965214,6.314990552407411,32.7486686706543,60.5852833250574,6.359067749844578,34.017333984375,167976400,602252000,179971500
